key,value
3  2  6  7  9  8  1  0  5,0.       0.       0.       0.009995
3  2  6  7  9  8  1  5  0, 0.          0.009995   -0.00099505  0.        
3  2  6  7  9  0  1  5  8,-0.00099505  0.005       0.005       0.        
3  2  6  7  0  9  1  5  8, 0.          0.          0.         -0.00099505
3  2  0  7  9  6  1  5  8, 0.     0.    -0.001  0.   
3  0  2  7  9  6  1  5  8,0.         0.         0.01498501 0.        
0  3  2  7  9  6  1  5  8,-0.00494061  0.          0.         -0.00198416
7  3  2  0  9  6  1  5  8, 0.005       0.01997002  0.         -0.001     
7  3  2  1  9  6  0  5  8, 0.         -0.00098516  0.          0.        
7  3  2  9  0  6  1  5  8,0.005 0.    0.    0.   
7  3  2  9  5  6  1  0  8, 0.     0.    -0.001  0.   
7  3  2  9  5  6  0  1  8,0.    0.005 0.    0.   
7  3  2  0  5  6  9  1  8, 0.     0.     0.    -0.001
7  3  2  5  0  6  9  1  8,0.009995 0.       0.       0.      
7  3  2  5  1  6  9  0  8, 0.         -0.00099505  0.005       0.01498501
7  3  2  5  1  6  9  8  0, 0.         -0.001      -0.00296734  0.        
7  3  2  5  1  0  9  8  6, 0.005      -0.00199405 -0.001       0.        
7  3  0  5  1  2  9  8  6,0.009995 0.       0.       0.      
7  3  2  5  0  1  9  8  6,0.    0.    0.    0.005
7  3  2  5  1  6  0  9  8, 0.         0.         0.        -0.0009901
4  6  7  1  9  5  2  3  0,0.    0.    0.005 0.   
4  6  7  1  9  5  2  0  3,0.         0.005      0.03986028 0.        
4  6  7  1  9  5  0  2  3, 0.         -0.00396434  0.         -0.00779469
4  6  7  0  9  5  1  2  3,0.01997002 0.         0.         0.        
4  6  7  1  0  5  2  9  3,0.       0.       0.       0.009995
4  6  7  1  5  0  2  9  3, 0.          0.009995   -0.00099505  0.        
4  6  0  1  5  7  2  9  3,-0.00099505  0.          0.005       0.        
4  0  6  1  5  7  2  9  3,-0.001  0.     0.     0.   
4  5  6  1  0  7  2  9  3,-0.001  0.     0.     0.005
4  5  6  1  7  0  2  9  3, 0.          0.         -0.00099505  0.        
4  5  6  1  9  7  2  0  3, 0.     0.     0.    -0.001
4  5  6  1  9  7  2  3  0,0.       0.009995 0.       0.      
4  5  6  1  9  0  2  3  7,-0.00099505  0.009995    0.          0.        
4  5  0  1  9  6  2  3  7,-0.00099505  0.         -0.001       0.        
4  0  5  1  9  6  2  3  7,-0.001  0.    -0.001  0.   
4  9  5  1  0  6  2  3  7,0.    0.005 0.    0.   
0  4  5  1  9  6  2  3  7,0.02520512 0.         0.         0.        
1  4  5  0  9  6  2  3  7, 0.11374381 -0.00394439  0.         -0.00298204
1  4  5  2  9  6  0  3  7, 0.         -0.02053558  0.         -0.02323987
1  4  5  2  9  6  3  0  7,0.         0.005      0.11863007 0.01997002
1  4  5  2  9  6  3  7  0, 0.         -0.001      -0.00370477  0.        
1  4  5  9  0  6  2  3  7,0.         0.         0.01511799 0.        
1  4  5  2  9  0  3  7  6,0.005 0.    0.    0.   
1  4  5  2  0  6  3  9  7,0.    0.    0.005 0.   
1  4  5  0  2  6  3  9  7, 0.    -0.001  0.     0.   
0  4  5  1  2  6  3  9  7,0.    0.    0.    0.005
4  0  5  1  2  6  3  9  7,0.005 0.    0.    0.   
4  2  5  1  0  6  3  9  7, 0.     0.    -0.001  0.   
4  2  5  0  1  6  3  9  7,0.    0.005 0.    0.   
0  2  5  4  1  6  3  9  7, 0.     0.     0.    -0.001
2  0  5  4  1  6  3  9  7,0.01996706 0.         0.         0.        
2  1  5  4  0  6  3  9  7,-0.00199405 -0.00296734 -0.00298216 -0.00199405
2  1  5  0  4  6  3  9  7,0.         0.         0.         0.00999401
2  1  5  4  9  6  3  0  7,0.       0.009995 0.       0.005   
2  1  5  4  9  6  3  7  0, 0.         -0.001      -0.00099505  0.        
2  1  5  4  9  0  3  7  6,0.005 0.    0.    0.   
2  1  5  4  6  0  3  9  7,-0.001       0.          0.00999205  0.        
2  1  5  4  6  7  3  9  0,0.    0.005 0.    0.   
7  3  9  4  1  2  6  5  0, 0.          0.         -0.00199405  0.        
7  3  9  4  1  2  6  0  5,0.         0.         0.01498501 0.005     
7  3  9  4  1  2  0  6  5, 0.         -0.00197923  0.         -0.00198416
7  3  9  0  1  2  4  6  5,0.005      0.02495005 0.         0.        
0  3  9  7  1  2  4  6  5,-0.0039446   0.          0.         -0.00494061
3  0  9  7  1  2  4  6  5,0.009995   0.         0.01997002 0.        
3  1  9  7  0  2  4  6  5, 0.005      -0.00098516 -0.001       0.009995  
3  1  9  0  7  2  4  6  5,0.    0.    0.    0.005
3  1  9  7  6  2  4  0  5, 0.         -0.00099505  0.          0.        
3  1  9  7  2  0  4  6  5, 0.02011279  0.         -0.00099505  0.        
3  1  9  7  2  5  4  6  0, 0.         -0.00296723  0.07447727  0.        
3  1  9  7  2  5  4  0  6, 0.         -0.0134625  -0.01529208 -0.0133941 
3  1  9  7  0  5  4  2  6, 0.06461143 -0.00396428 -0.001       0.01003937
3  1  9  7  2  5  0  4  6,0.         0.005      0.         0.07940279
3  1  9  0  2  5  7  4  6,-0.00098516  0.          0.          0.        
3  0  9  7  1  5  4  2  6,0.02006855 0.         0.005      0.        
0  3  9  7  1  5  4  2  6,-0.001       0.          0.         -0.00099505
7  3  9  0  1  5  4  2  6,0.    0.005 0.    0.   
3  1  9  7  5  0  4  2  6, 0.05472582  0.         -0.00096545  0.        
3  1  9  7  5  6  4  2  0, 0.         -0.0096845  -0.01160969  0.        
3  1  9  7  5  6  4  0  2, 0.         -0.00199403  0.          0.05472582
3  1  9  7  0  6  4  5  2,0.01006403 0.         0.         0.        
3  1  9  0  7  5  4  2  6,0.         0.         0.         0.00503946
6  7  9  8  2  5  4  3  0,0.    0.    0.005 0.   
6  7  9  8  2  5  4  0  3, 0.    -0.001  0.     0.   
6  7  9  8  0  5  4  2  3,0.    0.    0.005 0.   
6  7  9  0  8  5  4  2  3,0.       0.009995 0.       0.      
0  7  9  6  8  5  4  2  3,-0.00099505  0.          0.          0.005     
7  0  9  6  8  5  4  2  3, 0.     0.     0.    -0.001
7  9  0  6  8  5  4  2  3,-0.001  0.     0.     0.   
7  9  5  6  8  0  4  2  3,0.005 0.    0.    0.   
7  9  5  6  8  3  4  2  0, 0.     0.    -0.001  0.   
7  9  5  6  8  3  4  0  2, 0.     0.    -0.001  0.   
7  9  5  6  8  3  0  4  2, 0.    -0.001  0.     0.   
7  9  5  0  8  3  6  4  2,0.       0.009995 0.       0.      
0  9  5  7  8  3  6  4  2,-0.00099505  0.          0.         -0.001     
9  0  5  7  8  3  6  4  2,0.    0.    0.    0.005
9  5  0  7  8  3  6  4  2,0.005 0.    0.    0.   
9  5  3  7  8  0  6  4  2, 0.01997002  0.         -0.001       0.        
9  5  3  7  0  8  6  4  2,0.    0.    0.    0.005
9  5  3  7  8  2  6  4  0, 0.         -0.00296734 -0.00591097  0.        
9  5  3  7  8  2  6  0  4,0.         0.005      0.009995   0.02495005
9  5  3  7  0  2  6  8  4,-0.0009901  0.         0.         0.       
9  5  3  7  8  2  0  6  4, 0.          0.009995    0.         -0.00098023
9  5  3  0  8  2  7  6  4,-0.00099505  0.005       0.          0.        
0  5  3  9  8  2  7  6  4, 0.     0.     0.    -0.001
5  0  3  9  8  2  7  6  4,-0.001  0.     0.     0.   
5  8  3  9  0  2  7  6  4,0.009995 0.       0.       0.      
5  8  3  9  6  2  7  0  4, 0.         -0.00099505  0.          0.005     
5  8  3  9  6  2  7  4  0, 0.    -0.001  0.     0.   
5  8  3  9  6  0  7  4  2, 0.    -0.001  0.     0.   
5  8  0  9  6  3  7  4  2, 0.     0.    -0.001  0.   
5  0  8  9  6  3  7  4  2,-0.001  0.     0.     0.   
5  6  8  9  0  3  7  4  2, 0.     0.     0.    -0.001
5  6  8  9  3  0  7  4  2,0.005 0.    0.    0.   
5  6  8  9  3  2  7  4  0, 0.     0.    -0.001  0.   
5  6  8  9  3  2  7  0  4, 0.    -0.001 -0.001  0.   
5  6  8  9  3  2  0  7  4,0.    0.    0.    0.005
5  6  8  9  0  2  7  3  4,0.       0.       0.009995 0.      
5  6  8  0  9  2  7  3  4, 0.          0.009995    0.         -0.00099505
0  6  8  5  9  2  7  3  4,-0.00099505  0.          0.         -0.001     
6  0  8  5  9  2  7  3  4,-0.001  0.     0.     0.   
6  9  8  5  0  2  7  3  4,0.    0.    0.005 0.   
6  9  8  0  5  2  7  3  4,-0.001  0.     0.     0.   
6  9  8  7  5  2  0  3  4, 0.     0.     0.    -0.001
6  9  8  7  5  2  3  0  4,0.    0.    0.    0.005
6  9  8  7  5  2  3  4  0, 0.    -0.001  0.     0.   
6  9  8  7  5  0  3  4  2, 0.     0.    -0.001  0.   
6  9  8  7  0  5  3  4  2,0.005 0.    0.    0.   
6  9  8  7  4  5  3  0  2,0.       0.       0.009995 0.      
6  9  8  7  4  5  0  3  2, 0.          0.005       0.         -0.00099505
6  9  8  0  4  5  7  3  2,0.    0.    0.    0.005
6  9  8  4  0  5  7  3  2,0.01001477 0.         0.         0.        
6  9  8  4  3  5  7  0  2, 0.         -0.00099505  0.          0.02495005
6  9  8  4  3  5  7  2  0, 0.         -0.00591097 -0.0039446   0.        
6  9  8  4  3  0  7  2  5,0.02495005 0.         0.005      0.        
6  9  8  4  0  3  7  2  5, 0.005  0.    -0.001  0.   
6  9  8  0  4  3  7  2  5,0.         0.01997002 0.         0.005     
0  9  8  6  4  3  7  2  5,-0.0039446   0.          0.         -0.00591097
9  0  8  6  4  3  7  2  5,0.        0.        0.0299251 0.       
6  9  8  4  2  3  7  0  5, 0.     0.    -0.001  0.005
6  9  8  4  2  3  7  5  0, 0.          0.         -0.00099505  0.        
6  9  8  4  2  3  0  7  5, 0.    -0.001  0.     0.   
6  9  8  0  2  3  4  7  5, 0.        0.009995  0.       -0.001   
6  9  8  2  0  3  4  7  5,-0.00199405  0.          0.005      -0.001     
6  9  8  2  7  3  4  0  5,0.       0.009995 0.       0.005   
6  9  8  2  7  3  4  5  0, 0.          0.         -0.00099505  0.        
6  9  8  2  3  0  4  7  5,0.005 0.    0.005 0.   
6  9  8  2  3  5  4  7  0, 0.         -0.00099505 -0.00199405  0.        
6  9  8  2  3  5  4  0  7,0.       0.       0.       0.009995
0  9  8  6  2  3  4  7  5,-0.00099505  0.          0.         -0.001     
9  0  8  6  2  3  4  7  5,0.       0.       0.       0.009995
9  8  0  6  2  3  4  7  5, 0.005       0.         -0.00099505  0.        
9  8  3  6  2  0  4  7  5, 0.     0.    -0.001  0.   
9  8  3  6  0  2  4  7  5,-0.001  0.     0.     0.   
9  8  3  6  7  2  4  0  5, 0.          0.         -0.00199405  0.009995  
9  8  3  6  7  2  0  4  5,0.         0.         0.         0.00999995
9  8  3  6  7  2  4  5  0, 0.         -0.001      -0.00099505  0.        
9  8  3  6  7  0  4  5  2, 0.     0.    -0.001  0.   
9  8  3  6  0  7  4  5  2,0.    0.005 0.    0.   
9  0  3  6  8  7  4  5  2, 0.     0.     0.005 -0.001
9  3  0  6  8  7  4  5  2,0.    0.    0.005 0.   
0  9  3  6  8  7  4  5  2,-0.001  0.     0.     0.   
6  9  3  0  8  7  4  5  2, 0.     0.     0.    -0.001
6  9  3  8  0  7  4  5  2,0.         0.01002463 0.         0.        
6  0  3  8  9  7  4  5  2,-0.00099505  0.          0.0299251   0.        
0  6  3  8  9  7  4  5  2,-0.00494061  0.          0.         -0.00588142
8  6  3  0  9  7  4  5  2,0.         0.02495005 0.         0.        
5  1  4  8  3  6  2  7  0, 0.         -0.00298216 -0.00687543  0.        
5  1  4  8  3  6  2  0  7,0.        0.        0.005     0.0299251
5  1  4  8  3  0  2  7  6,0.01498501 0.         0.         0.        
5  1  4  8  3  6  0  2  7,0.    0.005 0.    0.   
5  1  4  0  3  6  8  2  7, 0.     0.     0.    -0.001
5  1  4  3  0  6  8  2  7,0.009995 0.       0.       0.      
5  1  4  3  2  6  8  0  7, 0.         -0.00099505  0.005       0.06461143
5  1  4  3  2  6  8  7  0, 0.         -0.00973355 -0.01155094  0.        
5  1  4  3  2  0  8  7  6, 0.04482042  0.         -0.001       0.        
5  1  4  3  2  6  0  8  7, 0.          0.          0.         -0.00094582
5  1  4  3  0  2  8  7  6, 0.    -0.001  0.     0.   
5  0  4  3  1  2  8  7  6,0.       0.       0.009995 0.      
0  5  4  3  1  2  8  7  6, 0.009995    0.          0.         -0.00099505
3  5  4  0  1  2  8  7  6,-0.001      -0.00099505  0.          0.        
3  5  4  8  1  2  0  7  6,0.       0.       0.       0.009995
3  5  4  8  1  2  7  0  6, 0.         -0.00199405 -0.00099505 -0.001     
3  5  4  8  0  2  7  1  6,0.005 0.    0.005 0.   
3  5  4  8  1  2  7  6  0,0.    0.    0.005 0.   
3  5  4  0  8  2  7  1  6,-0.001  0.     0.     0.   
3  5  4  7  8  2  0  1  6,0.         0.         0.         0.01498501
3  5  4  7  8  2  1  0  6, 0.          0.005      -0.00198416 -0.001     
3  5  4  7  8  2  1  6  0,0.    0.    0.005 0.   
3  5  4  7  0  2  1  8  6,0.         0.         0.         0.00999995
3  5  4  7  2  0  1  8  6, 0.005       0.009995   -0.00099505  0.        
3  5  0  7  2  4  1  8  6,-0.00099505  0.         -0.001       0.        
3  5  4  7  2  6  1  8  0, 0.         -0.00099505  0.          0.        
3  0  5  7  2  4  1  8  6,0.        0.        0.0299251 0.       
0  3  5  7  2  4  1  8  6,-0.00297722  0.          0.         -0.00491596
7  3  5  0  2  4  1  8  6,0.03489517 0.009995   0.         0.        
7  3  5  1  2  4  0  8  6, 0.         -0.00588142  0.         -0.0134625 
7  3  5  1  2  4  8  0  6, 0.         -0.001       0.06461143 -0.00199403
7  3  5  1  2  4  8  6  0,0.         0.         0.01004438 0.        
7  3  5  1  0  4  8  2  6, 0.         -0.001       0.          0.01501463
7  0  5  1  3  4  8  2  6,0.005 0.    0.    0.   
7  3  5  1  4  0  8  2  6, 0.03489517  0.009995   -0.00198416  0.        
7  3  5  1  4  6  8  2  0, 0.         -0.00684099 -0.00199405  0.        
7  3  5  1  4  6  8  0  2,0.       0.       0.       0.009995
7  3  0  1  4  5  8  2  6,-0.00097037  0.          0.005       0.        
7  0  3  1  4  5  8  2  6, 0.          0.         -0.00199405  0.        
0  7  3  1  4  5  8  2  6,0.       0.       0.       0.009995
2  6  8  1  9  0  5  4  7,0.    0.    0.005 0.   
2  6  8  1  9  7  5  4  0,0.    0.005 0.    0.   
2  6  8  1  0  9  5  4  7,0.    0.005 0.    0.   
2  0  8  1  6  9  5  4  7,0.       0.       0.009995 0.      
0  2  8  1  6  9  5  4  7, 0.009995    0.          0.         -0.00099505
1  2  8  0  6  9  5  4  7, 0.005      -0.00099505  0.          0.        
1  2  8  5  6  9  0  4  7,0.       0.       0.       0.009995
1  2  8  5  6  9  4  0  7, 0.          0.         -0.00099505  0.005     
1  2  8  5  6  9  4  7  0,0.    0.005 0.    0.   
1  2  8  5  6  0  4  7  9,0.        0.0299251 0.        0.       
1  2  0  5  6  8  4  7  9,-0.00491596  0.         -0.00591097  0.        
1  0  2  5  6  8  4  7  9,-0.00199405  0.          0.          0.02495005
1  6  2  5  0  8  4  7  9,0.       0.005    0.       0.009995
1  6  2  5  8  0  4  7  9,-0.00199405 -0.001      -0.00099505  0.        
1  6  2  5  8  9  4  7  0, 0.        0.009995 -0.001     0.      
1  6  2  5  8  9  4  0  7,0.    0.    0.    0.005
1  6  0  5  8  2  4  7  9,0.    0.    0.005 0.   
1  0  6  5  8  2  4  7  9,-0.0019891  0.         0.         0.       
1  8  6  5  0  2  4  7  9,0.       0.005    0.009995 0.005   
1  8  6  0  5  2  4  7  9, 0.         -0.001       0.         -0.00198416
0  8  6  1  5  2  4  7  9, 0.005  0.     0.    -0.001
8  0  6  1  5  2  4  7  9,-0.00199405  0.          0.005      -0.00199405
8  6  0  1  5  2  4  7  9,0.       0.       0.009995 0.      
8  5  6  1  0  2  4  7  9,0.       0.009995 0.       0.      
1  8  6  5  2  0  4  7  9,-0.00199403  0.0299251   0.          0.        
1  8  0  5  2  6  4  7  9,-0.00491596  0.         -0.00878671  0.        
1  0  8  5  2  6  4  7  9, 0.          0.         -0.00199403  0.03986028
0  1  8  5  2  6  4  7  9,-0.001       0.          0.          0.00501977
1  8  6  5  2  9  4  7  0, 0.          0.01003452 -0.001       0.        
1  8  6  5  2  9  4  0  7, 0.     0.    -0.001  0.005
1  8  6  5  2  9  0  4  7, 0.         -0.00199405  0.          0.005     
1  8  6  0  2  9  5  4  7, 0.009995 -0.001     0.        0.      
0  8  6  1  2  9  5  4  7,0.005 0.    0.    0.   
5  1  8  0  2  6  4  7  9, 0.     0.     0.    -0.001
5  1  8  2  0  6  4  7  9,-0.001  0.     0.    -0.001
5  1  8  2  7  6  4  0  9,0.    0.005 0.    0.   
5  1  8  2  6  0  4  7  9,-0.001  0.005  0.     0.   
5  1  8  2  6  9  4  7  0, 0.     0.005 -0.001  0.   
5  1  8  2  6  9  4  0  7, 0.     0.    -0.001  0.005
5  1  8  2  6  9  0  4  7, 0.         -0.00199405  0.          0.005     
5  1  8  0  6  9  2  4  7, 0.009995  0.        0.       -0.001   
5  1  8  6  0  9  2  4  7,0.    0.    0.005 0.   
5  1  0  2  6  8  4  7  9, 0.     0.    -0.001  0.   
5  0  1  2  6  8  4  7  9,-0.001  0.     0.     0.   
5  6  1  2  0  8  4  7  9,0.    0.    0.005 0.   
5  6  1  0  2  8  4  7  9,0.    0.005 0.    0.   
0  6  1  5  2  8  4  7  9, 0.     0.     0.    -0.001
6  0  1  5  2  8  4  7  9,0.005 0.    0.    0.   
6  2  1  5  0  8  4  7  9,0.    0.    0.005 0.   
6  2  1  0  5  8  4  7  9,0.005 0.    0.    0.   
6  2  1  4  5  8  0  7  9,0.    0.    0.    0.005
6  2  1  4  5  8  7  0  9, 0.     0.     0.    -0.001
6  2  1  4  5  8  7  9  0,0.       0.009995 0.       0.      
6  2  1  4  5  0  7  9  8,-0.00099505  0.         -0.001       0.        
6  2  1  4  0  5  7  9  8,-0.001  0.    -0.001  0.   
6  2  1  0  4  5  7  9  8,0.    0.    0.    0.005
6  2  1  4  9  5  7  0  8,0.       0.       0.       0.009995
6  2  1  4  9  5  7  8  0, 0.         -0.001      -0.00099505  0.        
6  2  1  4  9  0  7  8  5, 0.       -0.001     0.009995  0.      
6  2  0  4  9  1  7  8  5, 0.005  0.    -0.001  0.   
6  0  2  4  9  1  7  8  5,0.    0.    0.    0.005
6  2  1  4  0  9  7  8  5,-0.001       0.         -0.001      -0.00099505
6  2  1  4  8  9  7  0  5, 0.     0.005 -0.001  0.   
6  2  1  4  8  9  0  7  5, 0.    -0.001  0.     0.005
6  2  1  0  8  9  4  7  5,0.005 0.    0.    0.   
6  2  1  0  4  9  7  8  5,-0.001  0.     0.     0.   
6  2  1  7  4  9  0  8  5, 0.     0.     0.    -0.001
6  2  1  7  4  9  8  0  5,0.    0.    0.    0.005
6  2  1  7  4  9  8  5  0,0.       0.009995 0.       0.      
6  2  1  7  4  0  8  5  9,-0.00099505 -0.001      -0.001       0.        
6  2  0  7  4  1  8  5  9,0.005 0.    0.    0.   
6  2  1  7  0  4  8  5  9, 0.     0.    -0.001  0.   
6  2  1  0  7  4  8  5  9,0.       0.009995 0.       0.      
0  2  1  6  7  4  8  5  9,-0.00099505  0.          0.         -0.001     
2  0  1  6  7  4  8  5  9,-0.001  0.     0.     0.   
2  7  1  6  0  4  8  5  9,0.       0.       0.009995 0.      
2  7  1  0  6  4  8  5  9,-0.001      -0.001       0.         -0.00099505
2  7  1  8  6  4  0  5  9,0.    0.005 0.    0.   
0  7  1  2  6  4  8  5  9,0.       0.       0.       0.009995
7  0  1  2  6  4  8  5  9,-0.00199405  0.         -0.00099505  0.005     
7  6  1  2  0  4  8  5  9,0.       0.009995 0.       0.005   
7  6  1  2  4  0  8  5  9, 0.          0.         -0.00099505  0.        
7  1  0  2  6  4  8  5  9, 0.          0.         -0.00099505  0.        
2  6  3  9  5  1  4  7  0, 0.    -0.001 -0.001  0.   
2  6  3  9  5  0  4  7  1,0.005 0.    0.    0.   
2  6  3  9  5  1  4  0  7, 0.     0.    -0.001  0.   
2  6  3  9  5  1  0  4  7,0.       0.009995 0.       0.      
2  6  3  0  5  1  9  4  7,-0.00099505 -0.001       0.         -0.001     
0  6  3  2  5  1  9  4  7,0.005 0.    0.    0.   
2  6  3  5  0  1  9  4  7,0.005 0.    0.    0.   
2  6  3  5  4  1  9  0  7,0.       0.       0.       0.009995
2  6  3  5  4  1  9  7  0, 0.         -0.001      -0.00099505  0.        
2  6  3  5  4  0  9  7  1, 0.         -0.00199405  0.          0.        
2  6  0  5  4  3  9  7  1,0.005    0.       0.009995 0.      
2  0  6  5  4  3  9  7  1,-0.001       0.          0.         -0.00099505
2  4  6  5  0  3  9  7  1,-0.00195463  0.          0.06461143 -0.00199404
2  4  6  0  5  3  9  7  1,-0.00494061 -0.00199405  0.         -0.01247542
0  4  6  2  5  3  9  7  1,0.009995 0.       0.       0.      
2  4  6  9  5  3  0  7  1,0.         0.02495005 0.         0.        
2  4  6  5  3  0  9  7  1,0.         0.         0.01004437 0.        
2  4  6  5  7  3  9  0  1,0.         0.00502963 0.0596711  0.01997002
2  4  6  5  7  3  0  9  1, 0.         -0.00494061  0.         -0.01062064
2  4  6  0  7  3  5  9  1, 0.01997002 -0.001       0.          0.        
2  4  6  5  7  3  9  1  0, 0.         -0.00396434 -0.00387077  0.        
2  4  6  5  7  0  9  1  3, 0.01997002  0.         -0.00298216  0.        
2  4  6  5  0  7  9  1  3,0.        0.        0.        0.0149949
0  4  6  2  7  3  5  9  1,0.    0.    0.    0.005
4  0  6  2  7  3  5  9  1,-0.001  0.     0.     0.   
4  7  6  2  0  3  5  9  1,0.         0.         0.00999995 0.        
4  7  6  0  2  3  5  9  1, 0.          0.009995    0.         -0.00099505
0  7  6  4  2  3  5  9  1,-0.00099505  0.          0.          0.005     
7  0  6  4  2  3  5  9  1, 0.     0.     0.    -0.001
7  6  0  4  2  3  5  9  1,0.009995 0.       0.       0.      
7  6  3  4  2  0  5  9  1, 0.         -0.00099505 -0.001       0.        
7  6  3  4  0  2  5  9  1,-0.001     0.009995  0.        0.      
7  6  3  4  9  2  5  0  1,0.    0.005 0.    0.   
7  0  3  4  6  2  5  9  1,-0.00099505  0.          0.         -0.001     
7  3  0  4  6  2  5  9  1,0.009995 0.       0.       0.      
7  3  2  4  6  0  5  9  1, 0.         -0.00099505  0.009995    0.        
7  3  2  4  0  6  5  9  1, 0.          0.         -0.001      -0.00099505
7  3  2  0  4  6  5  9  1,0.005 0.    0.    0.   
7  3  2  5  4  6  0  9  1, 0.     0.     0.    -0.001
7  3  2  5  4  6  9  0  1, 0.         -0.00199405  0.          0.04482042
7  3  2  5  0  6  9  4  1,0.0100049 0.        0.        0.       
7  3  2  5  4  6  9  1  0, 0.         -0.01067454 -0.00779469  0.        
7  3  2  5  4  0  9  1  6, 0.0497756  -0.001      -0.00199404  0.        
7  3  0  5  4  2  9  1  6,0.0050099 0.        0.        0.       
7  3  2  5  0  4  9  1  6,0.         0.         0.         0.01003452
9  2  1  8  7  4  3  6  0,0.    0.    0.005 0.   
9  2  1  8  7  4  3  0  6,0.    0.    0.005 0.   
9  2  1  8  7  4  0  3  6,0.    0.005 0.    0.   
9  2  1  0  7  4  8  3  6,0.         0.01498501 0.         0.        
0  2  1  9  7  4  8  3  6,-0.00198416  0.          0.         -0.00396434
2  0  1  9  7  4  8  3  6,0.         0.         0.01498501 0.005     
2  1  0  9  7  4  8  3  6,-0.001  0.     0.     0.   
2  1  4  9  7  0  8  3  6, 0.     0.    -0.001  0.   
2  1  4  9  0  7  8  3  6, 0.         -0.001       0.01997002  0.        
2  1  4  0  9  7  8  3  6,-0.00591097 -0.00396434  0.         -0.0039446 
2  1  4  8  9  7  0  3  6, 0.          0.0299251   0.         -0.00298215
2  1  4  8  9  7  3  0  6,0.         0.         0.01501466 0.        
0  1  4  2  9  7  8  3  6,0.01997002 0.         0.         0.        
2  0  4  9  1  7  8  3  6,0.       0.       0.009995 0.      
0  2  4  9  1  7  8  3  6,-0.001       0.          0.         -0.00099505
9  2  4  0  1  7  8  3  6,0.    0.    0.    0.005
9  2  4  1  0  7  8  3  6,0.009995 0.       0.       0.      
9  2  4  1  3  7  8  0  6, 0.         -0.00099505  0.009995   -0.001     
9  2  4  1  3  7  8  6  0,0.    0.    0.005 0.   
9  2  4  1  3  7  0  8  6, 0.         -0.001       0.         -0.00099505
9  2  4  0  3  7  1  8  6,0.       0.009995 0.       0.      
0  2  4  9  3  7  1  8  6,-0.00099505  0.          0.         -0.001     
2  0  4  9  3  7  1  8  6,0.         0.         0.         0.01498501
2  4  0  9  3  7  1  8  6,-0.001       0.         -0.00198416  0.        
2  4  7  9  3  0  1  8  6,0.    0.    0.005 0.   
2  4  7  9  0  3  1  8  6,-0.001  0.     0.     0.   
2  4  7  9  8  3  1  0  6, 0.     0.     0.    -0.001
2  4  7  9  8  3  1  6  0, 0.    -0.001  0.     0.   
2  4  7  9  8  0  1  6  3, 0.     0.    -0.001  0.   
2  4  7  9  0  8  1  6  3,0.    0.005 0.    0.   
2  0  7  9  4  8  1  6  3,0.       0.       0.009995 0.      
0  2  7  9  4  8  1  6  3,-0.00199405  0.          0.         -0.00099505
9  2  7  0  4  8  1  6  3,0.       0.005    0.       0.009995
9  2  7  4  0  8  1  6  3, 0.          0.         -0.00099505  0.005     
9  2  7  4  8  0  1  6  3,0.    0.005 0.    0.   
9  2  0  4  8  7  1  6  3, 0.     0.    -0.001  0.   
9  0  2  4  8  7  1  6  3,0.       0.       0.009995 0.      
0  9  2  4  8  7  1  6  3,-0.001       0.          0.         -0.00099505
4  9  2  0  8  7  1  6  3,0.009995 0.       0.       0.      
4  9  2  1  8  7  0  6  3, 0.         -0.00099505  0.         -0.001     
4  9  2  1  8  7  6  0  3,0.    0.005 0.    0.   
4  9  2  1  0  7  6  8  3, 0.     0.    -0.001  0.   
4  9  2  0  1  7  6  8  3,0.009995 0.       0.       0.      
4  9  2  6  1  7  0  8  3, 0.         -0.00099505  0.         -0.001     
4  9  2  6  1  7  8  0  3, 0.     0.     0.    -0.001
4  9  2  6  1  7  8  3  0,0.    0.005 0.    0.   
4  9  2  6  1  0  8  3  7, 0.     0.    -0.001  0.   
4  9  2  6  0  1  8  3  7,0.    0.005 0.    0.   
4  0  2  6  9  1  8  3  7, 0.     0.    -0.001  0.   
0  4  2  6  9  1  8  3  7,-0.001  0.     0.     0.   
6  4  2  0  9  1  8  3  7,-0.001  0.     0.     0.   
6  4  2  8  9  1  0  3  7, 0.     0.     0.    -0.001
6  4  2  8  9  1  3  0  7,0.    0.005 0.    0.   
6  4  2  8  0  1  3  9  7,0.       0.009995 0.       0.      
6  0  2  8  4  1  3  9  7,-0.00099505  0.          0.005       0.        
0  6  2  8  4  1  3  9  7,-0.001  0.     0.     0.   
8  6  2  0  4  1  3  9  7,0.009995 0.       0.       0.005   
8  6  2  4  0  1  3  9  7, 0.          0.         -0.00099505  0.        
8  6  2  3  4  1  0  9  7, 0.         -0.00099505  0.         -0.00396434
8  6  2  3  4  1  9  0  7, 0.         -0.001       0.01498501  0.005     
8  6  2  3  4  1  9  7  0, 0.          0.         -0.00098516  0.        
8  6  2  3  0  1  9  4  7,0.         0.         0.         0.01997002
8  6  2  3  1  0  9  4  7,-0.00396434 -0.00494061 -0.00296734  0.        
8  6  0  3  1  2  9  4  7,0.01997002 0.         0.005      0.        
8  6  2  3  1  7  9  4  0,0.         0.01997002 0.         0.        
8  0  6  3  1  2  9  4  7,0.    0.    0.005 0.   
0  8  6  3  1  2  9  4  7,0.009995 0.       0.       0.      
